,zona,area_quartos,enderecos_lista,aluguel
39,centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.760
40,centro,480 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
41,centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",60.000
42,centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
43,centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
44,centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
45,centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
46,centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
47,centro,245 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
0,centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",47.861
1,centro,185 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
2,centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",9.620
3,centro,149 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
4,centro,155 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.800
5,centro,500 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",32.500
6,centro,500 m² construídos6 quartos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
7,centro,210 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.500
8,centro,195 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
9,centro,250 m² construídos,"Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",8.300
10,centro,375 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.800
11,centro,400 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
12,centro,160 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.400
13,centro,450 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.000
14,centro,345 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",20.000
15,centro,40 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
16,centro,94 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
17,centro,90 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
18,centro,225 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
19,centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
20,centro,225 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
21,centro,484 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
22,centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
23,centro,423 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.500
24,centro,258 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
25,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
26,centro,553 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
27,centro,414 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
28,centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",38.289
29,centro,135 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.500
30,centro,414 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
31,centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",40.000
32,centro,260 m² construídos,"Rua Candelária, Centro, Rio De Janeiro Centro, Rio De Janeiro",12.300
33,centro,354 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",20.000
34,centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
35,centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
36,centro,212 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.000
37,centro,85 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
38,centro,"1,000 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",65.000
39,centro,200 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
40,centro,470 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",21.150
41,centro,84 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.300
42,centro,283 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",14.188
43,centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
44,centro,"1,299 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",103.929
45,centro,"1,200 m² construídos","Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",78.000
46,centro,190 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.500
47,centro,350 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
0,centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",47.861
1,centro,185 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
2,centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",9.620
3,centro,149 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
4,centro,155 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.800
5,centro,500 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",32.500
