zona,enderecos_lista,latitude,longitude,area,quartos,aluguel
centro,"Rua Marquês Pombal, Centro, Rio de Janeiro, RJ",-22.9094,-43.19456,42.0,2.0,950
centro,"Rua Do Resende, Centro, Rio de Janeiro, RJ",-22.91322,-43.18609,90.0,2.0,2450
centro,"Rua Da Relação, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,35.0,1.0,1780
centro,"R. Do Senado, Centro, Rio de Janeiro, RJ",-22.91004,-43.18724,50.0,1.0,1208
centro,"Rua Tenente Possolo, 1, Centro, Rio de Janeiro, RJ",-22.91246,-43.19043,53.0,1.0,950
centro,"Rua Evaristo Da Veiga, Centro, Rio de Janeiro, RJ",-22.91073,-43.17762,35.0,1.0,680
centro,"Rua Carlos Sampaio, Centro, Rio de Janeiro, RJ",-22.91228,-43.18826,30.0,1.0,850
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,35.0,,1000
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,60.0,2.0,2500
centro,"Praça Olavo Bilac, Centro, Rio de Janeiro, RJ",-22.90332,-43.18004,35.0,,600
centro,"Santo Cristo, Rio de Janeiro, RJ",-22.90398,-43.20522,600.0,,35000
centro,"Rua  Lavradio, Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,527.0,,19500
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,36.0,1.0,1900
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,2250
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,217.0,,6000
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,1900
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,100.0,,2900
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,468.0,,6000
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,2750
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,597.0,,23880
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,270.0,,13000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,340.0,,13000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,483.0,,19356
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,385.0,,8000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,760.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,800.0,,30000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,603.0,,60300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,727.0,,50000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,576.0,,28845
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,760.0,,91236
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,562.0,,35000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,600.0,,23880
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,540.0,,15000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,369.0,,7000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,780.0,,39000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,8760
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,480.0,,10000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1040.0,,60000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,12000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,800.0,,25000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,11000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,162.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,162.0,,5000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,245.0,,25000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,638.0,,47861
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,185.0,,6000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,148.0,,9620
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,149.0,,2500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,155.0,,2800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,500.0,,32500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,500.0,6.0,5000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,210.0,,12500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,195.0,,8000
centro,"Cidade Nova, Rio de Janeiro, RJ",-22.91297,-43.20919,250.0,,8300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,375.0,,8800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,400.0,,6000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,160.0,,10400
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,450.0,,28000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,345.0,,20000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,40.0,,1800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,94.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,90.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,225.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,8000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,225.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,484.0,,11000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,148.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,423.0,,4500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,258.0,,10000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,553.0,,15000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,414.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,638.0,,38289
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,135.0,,3500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,414.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1040.0,,40000
centro,"Rua Candelária, Centro, Rio de Janeiro, RJ",-22.90033,-43.17748,260.0,,12300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,354.0,,20000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,212.0,,4000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,85.0,,2200
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1000.0,,65000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,200.0,,2200
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,470.0,,21150
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,84.0,,2300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,283.0,,14188
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1299.0,,103929
