zona,area_quartos,enderecos_lista,aluguel
centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
centro,53 m² construídos2 quartos,"Rua Tenente Possolo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.500
centro,18 m² construídos1 quarto,"Rua Taylor, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.100
centro,48 m² construídos1 quarto,"Rua Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.090
centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
centro,31 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
centro,47 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
centro,32 m² construídos1 quarto,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
centro,48 m² construídos1 quarto,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.100
centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
centro,47 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.200
centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",640
centro,61 m² construídos1 quarto,"Rua Senador Dantas, Centro, Rio De Janeiro Centro, Rio De Janeiro",870
centro,25 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",500
centro,25 m² construídos1 quarto,"Rua Dos Inválidos, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
centro,24 m² construídos1 quarto,"Rua Lapa, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
centro,30 m² construídos1 quarto,"Rua Dos Andradas, Centro, Rio De Janeiro Centro, Rio De Janeiro",550
centro,115 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
centro,160 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
